"annotation_id","annotator","created_at","id","label","lead_time","product_brand","product_name","product_price","product_shade","review_id","review_text","updated_at"
262,"6","2026-04-03T13:11:49.508188Z",2,"[{""end"":95,""text"":""pokoknya ini bangus banget"",""start"":69,""labels"":[""NO-ASPECT""]},{""end"":211,""text"":""kalo di tambah ombre lip gloss nya benar benar bagus bangett"",""start"":151,""labels"":[""PIGMENTATION-positive""]}]",58.572,"Omg","Oh My Glam Mattelast Lip Cream",27500,"24 Berry","review_00002","Produk favorite aku yang sudah enggak tau berapa lipcream reorder .. pokoknya ini bangus banget dan aku biasanya pakai shade ini buat ombre .. apalagi kalo di tambah ombre lip gloss nya benar benar bagus bangett.. Aku punya 5 lip cream dari omg ini tentunya dengan warna yang berbeda-beda ya","2026-04-03T13:11:49.508196Z"
40,"7","2026-04-02T06:17:25.578290Z",2,"[{""end"":139,""text"":""aku biasanya pakai shade ini buat ombre"",""start"":100,""labels"":[""PIGMENTATION-neutral""]},{""end"":211,""text"":""di tambah ombre lip gloss nya benar benar bagus bangett"",""start"":156,""labels"":[""PIGMENTATION-positive""]},{""end"":95,""text"":""pokoknya ini bangus banget"",""start"":69,""labels"":[""NO-ASPECT""]}]",237.093,"Omg","Oh My Glam Mattelast Lip Cream",27500,"24 Berry","review_00002","Produk favorite aku yang sudah enggak tau berapa lipcream reorder .. pokoknya ini bangus banget dan aku biasanya pakai shade ini buat ombre .. apalagi kalo di tambah ombre lip gloss nya benar benar bagus bangett.. Aku punya 5 lip cream dari omg ini tentunya dengan warna yang berbeda-beda ya","2026-04-02T06:17:25.578299Z"
4,"1","2026-04-01T11:33:00.360529Z",2,"",40.698,"Omg","Oh My Glam Mattelast Lip Cream",27500,"24 Berry","review_00002","Produk favorite aku yang sudah enggak tau berapa lipcream reorder .. pokoknya ini bangus banget dan aku biasanya pakai shade ini buat ombre .. apalagi kalo di tambah ombre lip gloss nya benar benar bagus bangett.. Aku punya 5 lip cream dari omg ini tentunya dengan warna yang berbeda-beda ya","2026-04-01T11:33:00.360540Z"
268,"6","2026-04-03T13:14:46.677026Z",4,"[{""end"":61,""text"":""enggak bikin kering"",""start"":42,""labels"":[""HYDRATION-positive""]},{""end"":265,""text"":""enggak mahal"",""start"":253,""labels"":[""PRICE-positive""]},{""end"":75,""text"":""Matte banget"",""start"":63,""labels"":[""TEXTURE-neutral""]},{""end"":107,""text"":""harganya pun relatif terjangkau"",""start"":76,""labels"":[""PRICE-positive""]}]",96.996,"Omg","Oh My Glam Mattelast Lip Cream",27500,"24 Berry","review_00004","Creamnya enggak nyetak di bibir,nyatu dan enggak bikin kering. Matte banget,harganya pun relatif terjangkaudan bisa diaplikasikan 2bulan an loh. Jadi makin happy karena banyaknya varian warna nya . OMG cocok banget buat ibu muda yang pengin cantik tapi enggak mahal","2026-04-03T13:14:46.677034Z"
42,"7","2026-04-02T06:30:10.319958Z",4,"[{""end"":61,""text"":""Creamnya enggak nyetak di bibir,nyatu dan enggak bikin kering"",""start"":0,""labels"":[""TEXTURE-positive""]},{""end"":107,""text"":""harganya pun relatif terjangkau"",""start"":76,""labels"":[""PRICE-positive""]},{""end"":265,""text"":""enggak mahal"",""start"":253,""labels"":[""PRICE-positive""]}]",210.482,"Omg","Oh My Glam Mattelast Lip Cream",27500,"24 Berry","review_00004","Creamnya enggak nyetak di bibir,nyatu dan enggak bikin kering. Matte banget,harganya pun relatif terjangkaudan bisa diaplikasikan 2bulan an loh. Jadi makin happy karena banyaknya varian warna nya . OMG cocok banget buat ibu muda yang pengin cantik tapi enggak mahal","2026-04-02T06:30:10.319965Z"
5,"1","2026-04-01T11:35:44.356565Z",4,"[{""end"":61,""text"":""enggak bikin kering"",""start"":42,""labels"":[""HYDRATION-positive""]},{""end"":75,""text"":""Matte banget"",""start"":63,""labels"":[""TEXTURE-neutral""]},{""end"":107,""text"":""harganya pun relatif terjangkau"",""start"":76,""labels"":[""PRICE-positive""]},{""end"":265,""text"":""enggak mahal"",""start"":253,""labels"":[""PRICE-positive""]}]",143.858,"Omg","Oh My Glam Mattelast Lip Cream",27500,"24 Berry","review_00004","Creamnya enggak nyetak di bibir,nyatu dan enggak bikin kering. Matte banget,harganya pun relatif terjangkaudan bisa diaplikasikan 2bulan an loh. Jadi makin happy karena banyaknya varian warna nya . OMG cocok banget buat ibu muda yang pengin cantik tapi enggak mahal","2026-04-01T11:35:44.356576Z"
271,"6","2026-04-03T13:16:03.891575Z",5,"[{""end"":112,""text"":""smuanya bagus bisa pilih sesuai kesukaan"",""start"":72,""labels"":[""NO-ASPECT""]},{""end"":129,""text"":""Tekturnya cream"",""start"":114,""labels"":[""TEXTURE-neutral""]},{""end"":318,""text"":""setelah nge-set bakal awet di bibir"",""start"":283,""labels"":[""LONGEVITY-positive""]}]",72.98,"Omg","Oh My Glam Mattelast Lip Cream",27500,"24 Berry","review_00005","Sudah tidak di ragukan lip cream OMG .. tidak usah kuati tentang warna, smuanya bagus bisa pilih sesuai kesukaan. Tekturnya cream, aplikatornya juga enak Saya punya beberapa produk dari OMG ( fondi, cushion, lip cream, bedak, lip vinyl) . Setelah di aplikaskan tunggu beberapa saat, setelah nge-set bakal awet di bibir","2026-04-03T13:16:03.891583Z"
43,"7","2026-04-02T06:34:44.260485Z",5,"[{""end"":112,""text"":""tidak usah kuati tentang warna, smuanya bagus bisa pilih sesuai kesukaan"",""start"":40,""labels"":[""PIGMENTATION-positive""]},{""end"":129,""text"":"" Tekturnya cream"",""start"":113,""labels"":[""TEXTURE-neutral""]},{""end"":318,""text"":""setelah nge-set bakal awet di bibir"",""start"":283,""labels"":[""LONGEVITY-positive""]}]",268.454,"Omg","Oh My Glam Mattelast Lip Cream",27500,"24 Berry","review_00005","Sudah tidak di ragukan lip cream OMG .. tidak usah kuati tentang warna, smuanya bagus bisa pilih sesuai kesukaan. Tekturnya cream, aplikatornya juga enak Saya punya beberapa produk dari OMG ( fondi, cushion, lip cream, bedak, lip vinyl) . Setelah di aplikaskan tunggu beberapa saat, setelah nge-set bakal awet di bibir","2026-04-02T06:34:44.260496Z"
6,"1","2026-04-01T11:37:35.029850Z",5,"[{""end"":129,""text"":""Tekturnya cream"",""start"":114,""labels"":[""TEXTURE-neutral""]},{""end"":318,""text"":""setelah nge-set bakal awet di bibir"",""start"":283,""labels"":[""LONGEVITY-positive""]}]",79.864,"Omg","Oh My Glam Mattelast Lip Cream",27500,"24 Berry","review_00005","Sudah tidak di ragukan lip cream OMG .. tidak usah kuati tentang warna, smuanya bagus bisa pilih sesuai kesukaan. Tekturnya cream, aplikatornya juga enak Saya punya beberapa produk dari OMG ( fondi, cushion, lip cream, bedak, lip vinyl) . Setelah di aplikaskan tunggu beberapa saat, setelah nge-set bakal awet di bibir","2026-04-01T11:37:35.029860Z"
276,"6","2026-04-03T13:17:23.667641Z",6,"[{""end"":71,""text"":""mudah hilang"",""start"":59,""labels"":[""LONGEVITY-negative""]},{""end"":134,""text"":""tidak stay lama"",""start"":119,""labels"":[""LONGEVITY-negative""]},{""end"":45,""text"":"" ringat buat di pakai sehari-hari"",""start"":12,""labels"":[""TEXTURE-positive""]}]",72.008,"Omg","Oh My Glam Mattelast Lip Cream",27500,"24 Berry","review_00006","Bagus banget ringat buat di pakai sehari-hari, gapi sayang mudah hilang, tapi enggak buat bibir kering tapi sayang ini tidak stay lama..","2026-04-03T13:17:23.667650Z"
