review_id,review_text,product_name,product_brand,PIGMENTATION,LONGEVITY,TEXTURE,HYDRATION,PRICE,is_synthetic,source_fase,method,split
388,"Aku kira bakalan aroma strawberrynya kuat, ternyata nggak. Tapi kalau untuk melembabkan ini oke banget. Bibir juga jadi jarang menghitam kalau rutin dan sering dipakai. Pemakaian jangka panjang kayaknya bakal oke banget di bibir, jadi pink alami.",24H Melt-In Moisture,Nivea,no_aspect,no_aspect,no_aspect,positive,no_aspect,False,,,train
334,"Beli produk ini tuh awalnya karena IKON hahaha, tapi memang kumayan bagus sih. Dia cukup melembabkan dan ada warnanya sedikit tapi cukup bikin muka lebih kelihatan fresh apalagi buat anak sama yang gaboleh pakai lip product disekolahnya. produknya juga enak dibawa kemana2 buat di reaplly.",24H Melt-In Moisture,Nivea,positive,no_aspect,no_aspect,positive,no_aspect,False,,,train
142,"My favorit lip balm!! enggak bikin bibir kering sama sekali, ngelembabin. Rasanya, baunya wangi strawberry banget..suka. Teksturnya enggak oily banget dan ringan pas dipake. Ada warnanya dikit. Kadang cepat habis karena sering dipake. Suka banget",24H Melt-In Moisture,Nivea,neutral,no_aspect,positive,positive,no_aspect,False,,,train
71,"Sudah 2 tahun pemakaian dan sejauh ini tidak ada dampak negatif untuk kondisi bibirku yang sering kering dan mengelupas. Moisturizingnya cukup dapet, tapi sepertinya harus berulang kali apply dulu baru terasa melembapkannya (soalnya biasanya aku gini). After pemakaian selain bibir jadi lebih lembap, ada sentuhan warna pink alami juga di bibir meskipun ini bukan tinted lip balm. Cocok banget buat yang tidak begitu suka ribet tapi ingin melembapkan dan menyegarkan looks bibir agar lebih natural dalam satu waktu. Terus ada aroma strawberrynya juga yang kadang bikin aku khilaf pengin mencoba rasanya haha Aku pakai ini bisa tahan 6 bulanan, jadi worth itu banget untuk repurchase. Packagingnya oke, minimalis dan praktis untuk digunakan sehari-hari. So, recommended? Yes, of course. Overall bintang 5/5 untuk Nivea Lip Balm Strawberry Shine",24H Melt-In Moisture,Nivea,no_aspect,no_aspect,no_aspect,positive,no_aspect,False,,,train
325,"warnanya bagus, mengasih kesan healthy lips gtu, rasanya pas diaplikasiin ke bibir itu minyakan tapi enggak lebay banget, lembab nya juga dapat banget dan harganya murah. minusnya dia enggak transproof dan cepat hilang warnanya. repurchase? maybe.",24H Melt-In Moisture,Nivea,positive,negative,positive,positive,positive,False,,,train
268,"Beli karena diskon tapi ternyata enggak suka banget. enggak cukup melembabkan bibir aku yang kering, malah rasanya kayak lipstick yang ada pelembabnya aja, jadi kayak kurang melembabkan. Aku enggak menemukan ada SPF di lip balm ini. Sayangnya enggak punya adek perempuan jadi enggak tau mau aku kasih ke siapa karena enggak suka banget",24H Melt-In Moisture,Nivea,no_aspect,no_aspect,no_aspect,negative,no_aspect,False,,,train
49,"Lipcream omg dengan formula baru ini super enak, ringan, pigmented, enggak bikin bibir kering dan warna2nya bagus sekali swipe keliatan.. warna berry ini warna dark purple ada hint merah sedikit sudah pasti bold banget kalo dipakai sendiri dipakai ombre cantik banget wajib punya deh minimal 1 lipcream omg terbaru",Oh My Glam Mattelast Lip Cream,Omg,positive,no_aspect,positive,positive,no_aspect,False,,,train
14,"jujur pertama kali agak pesimis pakai produk ini tapi ternyata sebagus itu enggak bikin bibir kering dan tahan lama suka ditanya pakai produk apa kalo pakai ini mana beli di jxb lagi promo, promonya enggak kaleng kaleng sayang kalo dilewatkan segera deh ke jxb",Oh My Glam Mattelast Lip Cream,Omg,no_aspect,positive,no_aspect,positive,no_aspect,False,,,train
2971,"Awalnya enggak sengaja memilih lip balm ini waktu buru-buru mau keluar kota tapi lupa bawa lip balm. Selama seminggu percobaan kemarin menurut aku produk ini lumayan. Lip balmnya yang sedikit berwarna bikin tetap natural, jadi cocok untuk dipakai sehari-hari. Sayangnya lip balm ini serasa tebal banget di bibir dan enggak tahan lama, jadi aku sering-sering apply ini ke bibir terus ku hapus dikit pakai tisu. Aku juga pakai ini sebelum pakai lipstick. Over all, this product is good.",Baby Lips Love Color,Maybelline,neutral,negative,negative,no_aspect,no_aspect,False,,,train
319,"untuk masalah lembab lebih enak yang original yang warna biru, tapi kalau tampilan fresh untuk bibir jadi lebih kelihatan sehat ini oke banget, tapi memang kalau bibir lagi kering banget pakai ini di bibir malah berasa agak kering, jadi triknya bisa di layer dengan yang biru. pakai yang original dulu dikit baru pakai yang ini, bibir jadi kelihatan fresh",24H Melt-In Moisture,Nivea,no_aspect,no_aspect,no_aspect,negative,no_aspect,False,,,train
