produk,url,n_ulasan_klaim,tipe,percobaan_ke,scrape_time_sec,infer_time_sec,nss_time_sec,db_save_time_sec,total_time_sec,db_fetch_time_sec,n_ulasan_aktual,timestamp
Pixy Hyperlast Glazed Lip Vinyl 03,https://reviews.femaledaily.com/products/lips/lipstick/pixy/hyperlast-glazed-lip-vinyl-03-charming-pink,29,cold,1,62.6,9.17,0.0,0.01,71.79,,29,2026-06-24T11:35:12.845278
Pixy Hyperlast Glazed Lip Vinyl 03,https://reviews.femaledaily.com/products/lips/lipstick/pixy/hyperlast-glazed-lip-vinyl-03-charming-pink,29,cache,1,,,,,,0.063,29,2026-06-24T11:35:12.915122
Pixy Hyperlast Glazed Lip Vinyl 03,https://reviews.femaledaily.com/products/lips/lipstick/pixy/hyperlast-glazed-lip-vinyl-03-charming-pink,29,cache,2,,,,,,0.056,29,2026-06-24T11:35:12.980351
Pixy Hyperlast Glazed Lip Vinyl 03,https://reviews.femaledaily.com/products/lips/lipstick/pixy/hyperlast-glazed-lip-vinyl-03-charming-pink,29,cache,3,,,,,,0.084,29,2026-06-24T11:35:13.075171
ESQA Lip Gloss 46,https://reviews.femaledaily.com/products/lips/lip-gloss/esqa/esqa-lip-gloss-46,96,cold,1,235.86,24.3,0.0,0.02,260.18,,96,2026-06-24T11:39:33.290171
ESQA Lip Gloss 46,https://reviews.femaledaily.com/products/lips/lip-gloss/esqa/esqa-lip-gloss-46,96,cache,1,,,,,,0.077,96,2026-06-24T11:39:33.376197
ESQA Lip Gloss 46,https://reviews.femaledaily.com/products/lips/lip-gloss/esqa/esqa-lip-gloss-46,96,cache,2,,,,,,0.088,96,2026-06-24T11:39:33.470136
ESQA Lip Gloss 46,https://reviews.femaledaily.com/products/lips/lip-gloss/esqa/esqa-lip-gloss-46,96,cache,3,,,,,,0.069,96,2026-06-24T11:39:33.544742
Peripera Ink Velvet 05 Inktude Rose,https://reviews.femaledaily.com/products/lips/lip-stain-tint/peripera/ink-velvet-05-inktude-rose,287,cold,1,508.9,70.28,0.01,0.04,579.23,,285,2026-06-24T11:49:12.922273
Peripera Ink Velvet 05 Inktude Rose,https://reviews.femaledaily.com/products/lips/lip-stain-tint/peripera/ink-velvet-05-inktude-rose,287,cache,1,,,,,,0.189,285,2026-06-24T11:49:13.145165
Peripera Ink Velvet 05 Inktude Rose,https://reviews.femaledaily.com/products/lips/lip-stain-tint/peripera/ink-velvet-05-inktude-rose,287,cache,2,,,,,,0.102,285,2026-06-24T11:49:13.267786
Peripera Ink Velvet 05 Inktude Rose,https://reviews.femaledaily.com/products/lips/lip-stain-tint/peripera/ink-velvet-05-inktude-rose,287,cache,3,,,,,,0.09,285,2026-06-24T11:49:13.376244
NYX Soft Matte Lip Cream San Paulo 1,https://reviews.femaledaily.com/products/lips/lipstick/nyx/soft-matte-lip-cream-san-paulo-1,462,cold,1,435.66,129.92,0.01,0.05,565.64,,462,2026-06-24T11:58:39.080397
NYX Soft Matte Lip Cream San Paulo 1,https://reviews.femaledaily.com/products/lips/lipstick/nyx/soft-matte-lip-cream-san-paulo-1,462,cache,1,,,,,,0.266,462,2026-06-24T11:58:39.386557
NYX Soft Matte Lip Cream San Paulo 1,https://reviews.femaledaily.com/products/lips/lipstick/nyx/soft-matte-lip-cream-san-paulo-1,462,cache,2,,,,,,0.121,462,2026-06-24T11:58:39.530713
NYX Soft Matte Lip Cream San Paulo 1,https://reviews.femaledaily.com/products/lips/lipstick/nyx/soft-matte-lip-cream-san-paulo-1,462,cache,3,,,,,,0.098,462,2026-06-24T11:58:39.653270
Laneige Lip Sleeping Mask Grapefruit,https://reviews.femaledaily.com/products/lips/lip-balm-treatments/laneige/lip-sleeping-mask-grapefruit,675,cold,1,612.16,136.66,0.02,0.03,748.86,,675,2026-06-24T12:11:08.554182
Laneige Lip Sleeping Mask Grapefruit,https://reviews.femaledaily.com/products/lips/lip-balm-treatments/laneige/lip-sleeping-mask-grapefruit,675,cache,1,,,,,,0.068,675,2026-06-24T12:11:08.638969
Laneige Lip Sleeping Mask Grapefruit,https://reviews.femaledaily.com/products/lips/lip-balm-treatments/laneige/lip-sleeping-mask-grapefruit,675,cache,2,,,,,,0.059,675,2026-06-24T12:11:08.712184
Laneige Lip Sleeping Mask Grapefruit,https://reviews.femaledaily.com/products/lips/lip-balm-treatments/laneige/lip-sleeping-mask-grapefruit,675,cache,3,,,,,,0.159,675,2026-06-24T12:11:08.881566
Tony Moly Delight,https://reviews.femaledaily.com/products/lips/lip-stain-tint/tony-moly/delight,2286,cold,1,2166.37,427.14,0.03,0.19,2593.73,,2247,2026-06-24T12:54:22.860048
Tony Moly Delight,https://reviews.femaledaily.com/products/lips/lip-stain-tint/tony-moly/delight,2286,cache,1,,,,,,0.24,2247,2026-06-24T12:54:23.214460
Tony Moly Delight,https://reviews.femaledaily.com/products/lips/lip-stain-tint/tony-moly/delight,2286,cache,2,,,,,,0.213,2247,2026-06-24T12:54:23.504349
Tony Moly Delight,https://reviews.femaledaily.com/products/lips/lip-stain-tint/tony-moly/delight,2286,cache,3,,,,,,0.212,2247,2026-06-24T12:54:23.791032
